chapter_name,sub_chapter_name,category_name,sub_category_name,hsn,rate
Chapter 01 : Live animals,OTHER LIVE ANIMALS ,Bees: ,Pureline Stock,HSN 0106 41 10,0
"Chapter 20 : Preparations of vegetables, fruits,nuts or other parts of plants","FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Other: ,Other,HSN 2008 99 99,
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",Couscous: ,"Tapioca and substitutes therefore prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms",HSN 1903 00 00,18
Chapter 18 : Cocoa and cocoa preparations,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA ,Other: ,Other,HSN 1806 90 90,
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",Sweet biscuits; waffles and wafers: ,Sweet biscuits,HSN 1905 31 00,   
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",Couscous: ,Unprepared,HSN 1902 40 10,0
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",Couscous: ,Other,HSN 1902 40 90,
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",,Crispbread,HSN 1905 10 00,0
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",Communion wafers: ,Coated with chocolate or containing chocolate,HSN 1905 32 11,18
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS (FOR EXAMPLE, CORN FLAKES); CEREALS (OTHER THAN MAIZE (CORN) ) IN GRAIN FORM OR IN THE FORM OF FLAKES OR OTHER WORKED GRAINS (EXCEPT FLOUR, GROATS AND MEAL), PRE-COOKED, OR OTHERWISE PREPARED, NOT ELSEWHERE SPECIFIED OR INCLUDED ",Prepared foods obtained by the swelling or roasting of cereals or cereal products: ,Other,HSN 1904 90 00,
"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",,Gingerbread and the like,HSN 1905 20 00,0
Chapter 21 : Miscellaneous edible preparations,"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ","Extracts, essences and concentrates: ","Instant coffee, not flavoured",HSN 2101 11 20,18
