sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
OTHER LIVE ANIMALS ,HSN 0106 41 10,0,Chapter 01 : Live animals,Pureline Stock,Bees: 
"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 2008 99 99,,"Chapter 20 : Preparations of vegetables, fruits,nuts or other parts of plants",Other,Other: 
"PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",HSN 1903 00 00,18,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products","Tapioca and substitutes therefore prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms",Couscous: 
CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA ,HSN 1806 90 90,,Chapter 18 : Cocoa and cocoa preparations,Other,Other: 
"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",HSN 1905 31 00,   ,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Sweet biscuits,Sweet biscuits; waffles and wafers: 
"PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",HSN 1902 40 10,0,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Unprepared,Couscous: 
"PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED ",HSN 1902 40 90,,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Other,Couscous: 
"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",HSN 1905 10 00,0,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Crispbread,
"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",HSN 1905 32 11,18,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Coated with chocolate or containing chocolate,Communion wafers: 
"PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS (FOR EXAMPLE, CORN FLAKES); CEREALS (OTHER THAN MAIZE (CORN) ) IN GRAIN FORM OR IN THE FORM OF FLAKES OR OTHER WORKED GRAINS (EXCEPT FLOUR, GROATS AND MEAL), PRE-COOKED, OR OTHERWISE PREPARED, NOT ELSEWHERE SPECIFIED OR INCLUDED ",HSN 1904 90 00,,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Other,Prepared foods obtained by the swelling or roasting of cereals or cereal products: 
"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKERS WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS ",HSN 1905 20 00,0,"Chapter 19 : Preparations of cereals, flour,starch or milk;pastrycooks products",Gingerbread and the like,
"EXTRACTS, ESSENCES AND CONCENTRATES OF COFFEE, TEA OR MATE AND PREPARATIONS WITH A BASIS OF THESE PRODUCTS OR WITH A BASIS OF COFFEE, TEA OR MATE; ROASTED CHICORY & OTHER ROASTED COFFEE SUBSTITUTES, AND EXTRACTS, ESSENCES AND CONCENTRATES THEREOF ",HSN 2101 11 20,18,Chapter 21 : Miscellaneous edible preparations,"Instant coffee, not flavoured","Extracts, essences and concentrates: "
